Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2026,Fairfield,67.265,237,66.9193,200,110.03,140,108.213,188,108.069,168,115.468,293,-7.25476,255
2026,Fairleigh Dickinson,64.1332,351,63.668,342,101.506,307,101.238,313,112.509,280,118.688,337,-17.45,333
2026,FIU,71.741,32,71.7817,13,107.029,208,107.366,205,109.648,210,110.207,189,-2.84125,199
2026,Florida,72.6763,17,70.7016,24,119.927,20,125.721,11,98.2858,20,90.7363,4,34.9852,4
2026,Florida A&M,70.2177,89,67.9781,135,98.8286,338,97.9949,344,106.717,138,111.72,224,-13.7246,315
2026,Florida Atlantic,70.6141,78,69.4862,64,109.846,145,111.158,139,106.226,120,106.787,120,4.37036,122
2026,Florida Gulf Coast,69.4811,127,67.7443,150,109.819,147,105.9,241,113.218,294,114.173,271,-8.27245,265
2026,Florida St.,72.2091,24,70.375,33,110.677,124,116.507,72,107.57,156,104.795,88,11.7113,71
2026,Fordham,64.4685,344,64.0086,337,104.033,275,104.208,264,102.329,49,104.329,78,-0.121508,168
2026,Fresno St.,69.5027,125,67.9606,137,104.796,260,108.334,186,105.925,110,104.634,87,3.70002,127
2026,Furman,66.5973,269,65.7864,260,110.474,127,106.197,233,106.907,141,109.339,172,-3.14206,203
2026,Gardner Webb,71.0174,57,69.4484,66,93.6352,359,95.985,351,123.22,361,123.228,361,-27.2427,361
2026,George Mason,65.1433,332,63.6704,341,112.272,98,112.752,116,104.549,90,106.988,124,5.76373,108
2026,George Washington,70.2915,87,69.0755,86,117.239,44,119.546,54,106.275,126,108.695,158,10.8504,76
2026,Georgetown,67.2667,236,66.153,243,109.404,158,114.876,89,108.548,183,105.842,101,9.03385,89
2026,Georgia,73.2109,11,71.0348,22,120.642,16,124.849,16,106.18,119,104.341,79,20.5084,33
2026,Georgia Southern,71.7122,34,70.5883,27,109.03,167,107.827,196,111.079,252,116.287,308,-8.46061,266
2026,Georgia St.,68.7687,165,67.5557,167,99.1283,335,99.3971,333,108.869,189,111.807,228,-12.41,301
2026,Georgia Tech,71.6956,36,70.512,28,102.935,286,107.806,197,107.863,161,107.711,136,0.0942845,166
2026,Gonzaga,70.9699,59,69.0142,89,120.758,14,122.296,29,93.1159,2,94.0225,10,28.2736,12
2026,Grambling St.,69.6444,120,67.5046,171,99.5494,329,97.8901,345,103.567,72,109.242,168,-11.352,292
2026,Grand Canyon,68.8469,159,67.5421,169,108.182,181,110.526,154,99.4348,29,97.7203,20,12.8059,62
2026,Green Bay,64.8966,335,63.0476,354,113.692,81,112.784,113,116.112,331,115.473,295,-2.68946,197
2026,Hampton,65.7073,312,64.9375,305,101.359,309,102.165,303,107.47,155,111.198,215,-9.03259,273
2026,Harvard,63.8759,356,62.8294,355,108.335,175,107.178,213,104.199,82,106.311,113,0.866784,157
2026,Hawaii,72.152,25,69.4727,65,108.272,178,106.797,220,96.4716,9,101.243,41,5.55428,109
2026,High Point,70.7944,63,69.6711,57,121.97,9,118.448,56,100.871,38,109.893,184,8.55536,91
2026,Hofstra,65.9514,303,65.2018,292,112.947,87,114.198,96,103.458,67,105.938,104,8.26048,92
2026,Holy Cross,65.7086,311,65.2775,285,102.654,292,100.659,318,113.906,305,117.757,326,-17.0986,332
2026,Houston,64.8305,336,63.1996,351,119.062,31,125.141,14,95.7115,6,92.4653,7,32.6758,6
2026,Houston Christian,64.1397,350,63.8423,339,102.99,284,103.587,277,113.757,303,115.92,306,-12.3331,300
2026,Howard,69.1951,141,68.9444,96,106.811,210,102.73,295,97.6479,18,105.863,102,-3.13367,202
2026,Idaho,69.1986,140,67.6007,163,110.068,137,108.61,177,108.71,184,109.605,177,-0.994703,174
2026,Idaho St.,66.7097,264,64.9189,306,110.031,139,110.686,145,116.132,332,116.939,317,-6.25299,238
2026,Illinois,66.296,291,65.2451,287,126.026,1,132.247,1,103.524,69,99.141,32,33.1055,5
2026,Illinois Chicago,67.0224,249,66.1217,244,108.507,174,110.279,159,103.143,60,103.8,74,6.47874,105
2026,Illinois St.,67.9981,207,66.8263,208,110.086,136,110.73,144,100.948,40,103.459,68,7.27108,98
2026,Incarnate Word,65.5815,321,65.5495,271,107.346,200,108.478,182,114.362,315,116.951,318,-8.47299,267
2026,Indiana,67.1832,241,66.1025,245,116.193,57,120.889,40,106.551,135,102.998,62,17.8907,42
2026,Indiana St.,68.67,172,68.1229,129,102.824,289,105.99,238,108.256,174,110.274,192,-4.28407,218
2026,Iona,68.2917,193,68.4726,110,106.296,220,104.581,257,104.693,92,111.58,219,-6.99939,250
2026,Iowa,63.3388,363,62.7788,358,119.356,27,121.984,34,102.933,56,99.7087,34,22.2755,24
2026,Iowa St.,68.2297,196,66.5518,221,120.438,17,123.798,18,96.4936,10,93.5448,8,30.2534,8
2026,IU Indy,74.6807,5,72.8423,4,107.283,204,105.755,243,118.421,351,119.317,342,-13.5622,312
2026,Jackson St.,71.4144,42,69.5336,61,96.6397,348,99.7696,328,117.993,347,119,340,-19.2308,344
2026,Jacksonville,65.2265,330,63.0958,353,105.132,249,102.778,294,113.496,298,114.376,275,-11.5981,295
2026,Jacksonville St.,65.7151,310,65.0034,302,106.605,214,106.509,224,107.458,154,109.755,180,-3.24546,206
2026,James Madison,66.713,263,65.3246,281,110.239,132,109.09,170,110.034,221,113.146,252,-4.05568,215
2026,Kansas,67.8227,214,67.06,191,111.145,112,120.251,51,100.238,35,93.9313,9,26.3197,16
2026,Kansas City,71.49,40,69.7142,55,93.6066,360,92.4337,362,118.012,348,116.589,311,-24.1554,356
2026,Kansas St.,73.778,9,72.2548,7,107.643,197,112.854,112,110.14,224,105.925,103,6.9281,102
2026,Kennesaw St.,72.0868,27,71.1933,20,110.944,118,110.365,157,108.514,180,110.882,209,-0.516868,171
2026,Kent St.,72.2151,23,70.2167,35,111.942,104,111.407,137,110.175,227,110.842,208,0.564391,160
2026,Kentucky,69.4422,130,67.7861,147,117.047,46,121.069,37,104.677,91,99.0301,31,22.0386,25
2026,La Salle,66.0662,299,64.7136,315,99.1855,334,103.65,274,110.99,250,109.123,164,-5.47246,229
2026,Lafayette,66.8961,256,66.583,220,102.518,295,100.607,319,111.744,271,115.64,299,-15.0324,325
2026,Lamar,65.7681,307,65.263,286,104.372,267,104.367,261,106.239,121,109.248,169,-4.88132,223
2026,Le Moyne,69.1517,143,69.4071,68,105.03,253,102.083,304,106.271,125,113.176,253,-11.0932,288
2026,Lehigh,66.6885,267,66.7485,212,104.447,263,103.049,289,109.358,201,114.641,281,-11.5922,294
2026,Liberty,64.9622,334,64.046,336,116.809,49,117.672,59,109.349,200,112.347,236,5.32486,111
2026,Lindenwood,73.0478,13,72.2411,8,102.305,298,101.589,310,103.668,73,110.221,191,-8.63153,270
2026,Lipscomb,70.7426,68,69.4941,63,111.035,115,108.018,191,108.324,176,109.231,167,-1.21321,180
2026,Little Rock,67.2569,238,66.2704,232,102.891,288,103.827,272,110.405,236,116.443,310,-12.6161,304
2026,LIU,68.5543,177,68.0392,133,107.689,195,105.528,248,103.472,68,109.183,165,-3.65506,210
2026,Long Beach St.,70.6984,72,68.2074,128,102.405,297,105.8,242,111.151,255,112.783,246,-6.983,249
2026,Longwood,69.4613,128,68.3015,123,106.083,226,103.426,280,106.718,139,112.406,237,-8.98017,272
2026,Louisiana,63.7044,359,62.6013,360,98.7448,339,99.8421,327,109.676,211,113.263,255,-13.4212,311
2026,Louisiana Monroe,70.7375,69,70.1763,37,99.998,325,101.117,315,119.553,359,122.304,358,-21.1868,352
2026,Louisiana Tech,65.1949,331,64.3917,326,101.028,312,100.207,323,104.295,84,106.822,121,-6.61565,245
2026,Louisville,71.7284,33,70.4518,30,119.572,24,124.663,17,101.023,41,98.7515,28,25.9115,19
2026,Loyola Chicago,66.534,274,66.1962,238,100.49,318,102.685,296,115.611,327,115.604,297,-12.9195,309
2026,Loyola Marymount,68.317,192,66.9847,196,105.315,243,107.097,215,105.328,101,105.783,99,1.3142,146
2026,Loyola MD,68.2651,195,68.2283,127,105.884,231,103.716,273,112.547,282,118.387,331,-14.671,322
2026,LSU,68.7442,167,66.5014,223,116.223,56,120.129,52,110.913,247,106.478,116,13.6515,58
2026,Maine,64.8233,338,64.7123,316,95.1344,356,92.7342,360,106.14,117,112.534,241,-19.7995,347
2026,Manhattan,67.9082,210,67.5653,166,106.414,219,106.288,230,116.372,334,122.489,359,-16.2011,330
