team,adj_off_eff,adj_def_eff,adj_tempo,adj_em,efficiency_differential
Lipscomb,108.018,109.231,69.4941,-1.21321,-1.2129999999999939
Little Rock,103.827,116.443,66.2704,-12.6161,-12.616
LIU,105.528,109.183,68.0392,-3.65506,-3.655000000000001
Long Beach St.,105.8,112.783,68.2074,-6.983,-6.983000000000004
Longwood,103.426,112.406,68.3015,-8.98017,-8.980000000000004
Louisiana,99.8421,113.263,62.6013,-13.4212,-13.420900000000003
Louisiana Monroe,101.117,122.304,70.1763,-21.1868,-21.186999999999998
Louisiana Tech,100.207,106.822,64.3917,-6.61565,-6.615000000000009
Louisville,124.663,98.7515,70.4518,25.9115,25.911500000000004
Loyola Chicago,102.685,115.604,66.1962,-12.9195,-12.918999999999997
Loyola Marymount,107.097,105.783,66.9847,1.3142,1.313999999999993
Loyola MD,103.716,118.387,68.2283,-14.671,-14.671000000000006
LSU,120.129,106.478,66.5014,13.6515,13.65100000000001
Maine,92.7342,112.534,64.7123,-19.7995,-19.799800000000005
Manhattan,106.288,122.489,67.5653,-16.2011,-16.201000000000008
Marist,100.248,102.597,66.0476,-2.3486,-2.3489999999999895
Marquette,112.774,104.615,68.7277,8.15948,8.159000000000006
Marshall,113.026,115.768,69.22,-2.74132,-2.7420000000000044
Maryland,111.936,107.992,66.2052,3.94376,3.9440000000000026
Maryland Eastern Shore,95.2042,114.328,62.8054,-19.1243,-19.123800000000003
Massachusetts,108.602,111.785,69.7846,-3.18266,-3.1829999999999927
McNeese,114.967,102.834,66.1854,12.1333,12.132999999999996
Memphis,106.983,102.317,69.8715,4.66621,4.666000000000011
Mercer,112.562,113.833,68.9599,-1.27096,-1.2710000000000008
Mercyhurst,102.054,112.625,64.385,-10.5709,-10.570999999999998
Merrimack,107.68,108.608,63.2207,-0.928044,-0.9279999999999973
Miami FL,120.635,100.067,67.952,20.5681,20.568000000000012
Miami OH,116.561,107.076,70.0399,9.48468,9.485000000000014
Michigan,128.367,88.9572,71.4061,39.4097,39.40979999999999
Michigan St.,121.374,92.2673,65.6188,29.1066,29.10669999999999
Middle Tennessee,109.219,110.371,65.4744,-1.1523,-1.152000000000001
Milwaukee,106.909,115.056,67.3317,-8.14701,-8.146999999999991
Minnesota,115.769,103.08,62.4115,12.6891,12.689000000000007
Mississippi,115.16,104.572,65.8739,10.5877,10.587999999999994
Mississippi St.,113.022,105.192,69.1969,7.83009,7.8300000000000125
Mississippi Valley St.,89.4957,120.946,67.0809,-31.4499,-31.4503
Missouri,120.541,104.168,66.2221,16.3725,16.37299999999999
Missouri St.,107.695,111.602,65.7043,-3.9073,-3.9070000000000107
Monmouth,105.672,107.603,67.0797,-1.93044,-1.9309999999999974
Montana,107.35,108.413,69.0088,-1.06305,-1.0630000000000024
Montana St.,110.653,107.747,65.9087,2.90616,2.906000000000006
Morehead St.,107.704,117.445,65.3044,-9.74035,-9.741
Morgan St.,100.207,121.525,70.6462,-21.3182,-21.318000000000012
Mount St. Mary's,99.6807,110.823,67.6429,-11.1425,-11.142299999999992
Murray St.,116.68,111.696,71.2213,4.98447,4.984000000000009
NC State,123.034,102.149,69.0032,20.8851,20.885000000000005
Navy,107.28,104.37,65.0816,2.91012,2.9099999999999966
Nebraska,120.407,92.0794,66.7447,28.3275,28.32759999999999
Nebraska Omaha,107.026,114.992,67.1088,-7.96651,-7.966000000000008
Nevada,116.533,104.577,65.3192,11.956,11.956000000000003
New Hampshire,94.6068,115.122,67.4939,-20.5154,-20.515199999999993
New Haven,96.2326,112.299,63.2198,-16.0666,-16.0664
New Mexico,117.118,100.357,69.6661,16.7608,16.760999999999996
New Mexico St.,110.533,111.797,66.8626,-1.26382,-1.2639999999999958
New Orleans,110.683,111.69,69.5822,-1.00715,-1.0069999999999908
Niagara,99.0347,117.644,61.8611,-18.609,-18.609300000000005
Nicholls,106.443,112.796,68.3848,-6.35337,-6.353000000000009
NJIT,98.3503,113.713,67.655,-15.3622,-15.36269999999999
Norfolk St.,101.337,115.024,67.6421,-13.6872,-13.686999999999998
North Alabama,100.026,119.031,64.8586,-19.0045,-19.00500000000001
North Carolina,122.277,101.083,67.6278,21.1936,21.194000000000003
North Carolina A&T,106.331,115.619,68.3925,-9.28757,-9.287999999999997
North Carolina Central,100.284,120.823,65.7823,-20.5392,-20.538999999999987
North Dakota,107.409,118.67,67.3248,-11.261,-11.260999999999996
North Dakota St.,112.656,108.118,66.1918,4.53789,4.538000000000011
North Florida,106.764,124.255,70.1268,-17.4913,-17.491
North Texas,104.523,102.735,64.8667,1.788,1.7879999999999967
Northeastern,106.271,117.288,69.3809,-11.0166,-11.016999999999996
Northern Arizona,105.616,119.817,63.6675,-14.2019,-14.200999999999993
Northern Colorado,111.734,110.487,68.4042,1.24687,1.2469999999999999
Northern Illinois,97.3406,113.801,67.1732,-16.46,-16.460400000000007
Northern Iowa,108.001,98.5013,62.0806,9.49938,9.499700000000004
Northern Kentucky,108.176,109.316,69.696,-1.13973,-1.1400000000000006
Northwestern,116.432,104.344,65.7409,12.0877,12.088000000000008
Northwestern St.,103.512,112.974,64.9101,-9.46237,-9.462000000000003
Notre Dame,115.778,106.044,65.4668,9.73353,9.734000000000009
Oakland,115.438,115.029,69.7581,0.409556,0.409000000000006
Ohio,107.194,112.445,68.3464,-5.25078,-5.250999999999991
Ohio St.,122.252,102.992,66.2325,19.2597,19.25999999999999
Oklahoma,123.343,107.827,66.3428,15.5159,15.516000000000005
Oklahoma St.,117.819,106.764,71.9158,11.0545,11.055000000000007
Old Dominion,105.924,112.412,69.0717,-6.48815,-6.4879999999999995
Oral Roberts,101.705,115.472,67.5334,-13.767,-13.766999999999996
Oregon,111.808,104.501,65.6979,7.30702,7.307000000000002
Oregon St.,109.061,110.381,64.9915,-1.32044,-1.3199999999999932
Pacific,110.556,105.278,64.4494,5.27768,5.277999999999992
Penn,107.329,107.743,69.1309,-0.414442,-0.4140000000000015
Penn St.,115.704,112.153,67.3804,3.55092,3.5509999999999877
Pepperdine,105.445,113.348,68.4729,-7.90331,-7.903000000000006
Pittsburgh,112.95,105.794,63.7553,7.1562,7.156000000000006
Portland,106.501,109.669,68.2523,-3.16816,-3.167999999999992
Portland St.,103.331,102.611,67.4743,0.719947,0.7199999999999989
Prairie View A&M,100.976,114.91,72.1848,-13.934,-13.933999999999997
Presbyterian,103.022,112.632,63.9032,-9.60977,-9.61
Princeton,106.131,113.063,63.2081,-6.93201,-6.932000000000002
Providence,122.948,110.22,71.0396,12.7275,12.727999999999994
Purdue,129.735,98.5365,65.1459,31.1988,31.19850000000001
Purdue Fort Wayne,106.144,113.698,67.8539,-7.55408,-7.553999999999988
Queens,116.156,118.483,69.4008,-2.32752,-2.326999999999998
Quinnipiac,103.989,108.017,69.6215,-4.02843,-4.027999999999992
Radford,106.341,113.581,70.4427,-7.23932,-7.240000000000009
Rhode Island,107.298,104.44,65.8476,2.85803,2.858000000000004
Rice,108.46,114.565,65.3482,-6.10491,-6.105000000000004
Richmond,111.572,109.703,67.9671,1.86943,1.8689999999999998
Rider,95.5749,120.047,65.6059,-24.4724,-24.472099999999998
Robert Morris,111.42,109.812,64.5998,1.60728,1.608000000000004
Rutgers,110.62,109.513,65.7651,1.10732,1.1069999999999993
Sacramento St.,107.286,115.869,71.7982,-8.5828,-8.582999999999998
Sacred Heart,107.071,118.482,68.5802,-11.4115,-11.411000000000001
Saint Francis,99.5246,121.962,69.8755,-22.437,-22.437399999999997
St. Joseph's,105.586,102.361,67.9566,3.22491,3.2249999999999943
Saint Louis,120.827,99.1428,71.3495,21.684,21.684200000000004
St. Mary's,120.508,96.9333,65.2199,23.5747,23.574699999999993
St. Peter's,103.539,110.621,65.5144,-7.08231,-7.081999999999994
Sam Houston St.,115.045,108.255,70.0317,6.79009,6.790000000000006
Samford,109.571,113.194,66.9942,-3.62384,-3.6230000000000047
San Diego,108.419,114.217,68.4577,-5.79846,-5.798000000000002
San Diego St.,114.403,96.6141,68.7942,17.7891,17.788900000000012
San Francisco,113.489,109.517,65.6395,3.97147,3.9720000000000084
San Jose St.,110.889,116.651,64.8371,-5.76158,-5.7620000000000005
Santa Clara,122.767,103.288,69.9469,19.4786,19.479
Seattle,103.294,98.2825,67.793,5.0113,5.011499999999998
Seton Hall,109.158,94.1372,65.3044,15.0205,15.020799999999994
Siena,107.42,110.551,64.5326,-3.13066,-3.1310000000000002
SIUE,99.4347,106.404,64.309,-6.9692,-6.96929999999999
SMU,124.915,106.199,68.8149,18.716,18.716000000000008
South Alabama,106.636,109.107,64.6118,-2.47184,-2.4710000000000036
South Carolina,113.039,105.014,66.46,8.02448,8.025000000000006
South Carolina St.,95.0134,120.382,68.2298,-25.3686,-25.3686
South Dakota,104.685,114.404,69.9393,-9.7196,-9.718999999999994
South Dakota St.,108.016,112.113,66.8001,-4.09656,-4.096999999999994
