team,kenpom_name,seed,region,momentum_flag,adj_off_eff,adj_def_eff,adj_tempo,adj_em,momentum_score,recent_margin_trend,recent_efg_pct,recent_def_efg,recent_win_pct_30d,conf_tourney_avg_margin,conf_tourney_wins,won_conf_tourney,consensus_rank,rank_disagreement,has_momentum_data
Tennessee State,Tennessee St.,15,Midwest,WARM,108.515,112.001,70.3036,-3.48646,14.666666666666666,-3.6,0.495167475800192,0.504589686288931,0.8,0.0,0.0,0.0,222.33333333333331,11.8133634311129,True
Florida,Florida,1,South,FLAT,125.721,90.7363,70.7016,34.9852,1.6666666666666667,4.9,0.59799010108743,0.4481654418692293,1.0,0.0,0.0,0.0,5.333333333333333,1.247219128924647,True
Clemson,Clemson,8,South,COLD,116.396,96.8943,64.0784,19.502,-9.0,-2.5,0.493734335839599,0.5763807485554608,0.25,0.0,0.0,0.0,37.66666666666666,2.0548046676563256,True
Iowa,Iowa,9,South,ICY,121.984,99.7087,62.7788,22.2755,-7.666666666666667,-4.4,0.5045529451494236,0.5883680784624181,0.4,0.0,0.0,0.0,29.0,2.943920288775949,True
Vanderbilt,Vanderbilt,5,South,ICY,125.264,98.6744,69.158,26.5891,-0.3333333333333333,-6.6000000000000005,0.5304005404213669,0.54043879267003,0.4,0.0,0.0,0.0,14.666666666666666,1.247219128924647,True
McNeese,McNeese,12,South,FLAT,114.967,102.834,66.1854,12.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Nebraska,Nebraska,4,South,ICY,120.407,92.0794,66.7447,28.3275,0.6666666666666666,-5.6000000000000005,0.535969401870193,0.4501272298393042,0.8,0.0,0.0,0.0,12.0,0.816496580927726,True
Troy,Troy,13,South,ICY,111.05,110.147,64.8407,0.903162,-32.333333333333336,-4.7,0.5015018364220203,0.4620332680034172,0.6,0.0,0.0,0.0,150.66666666666666,8.178562764256865,True
North Carolina,North Carolina,6,South,ICY,122.277,101.083,67.6278,21.1936,-2.6666666666666665,-8.200000000000001,0.5431664631664631,0.5210643274661287,0.8,0.0,0.0,0.0,27.33333333333333,2.0548046676563256,True
VCU,VCU,11,South,ICY,120.52,103.546,69.348,16.974,1.0,-6.7,0.5246855225520388,0.474962742175857,0.75,0.0,0.0,0.0,46.333333333333336,2.6246692913372702,True
Illinois,Illinois,3,South,ICY,132.247,99.141,65.2451,33.1055,-21.666666666666668,-4.4,0.4631766854116915,0.5767854900905749,0.2,0.0,0.0,0.0,312.3333333333333,6.649979114420002,True
Penn,Penn,14,South,WARM,107.329,107.743,69.1309,-0.414442,7.0,-2.9000000000000004,0.4870201400030474,0.5148842896979037,0.8,0.0,0.0,0.0,167.33333333333334,4.496912521077347,True
Saint Mary's,St. Mary's,7,South,FLAT,120.508,96.9333,65.2199,23.5747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Texas A&M,Texas A&M,10,South,ICY,120.429,101.148,70.5039,19.2805,-2.333333333333333,-3.7,0.5012516506319562,0.5113765519551932,0.4,0.0,0.0,0.0,37.0,4.08248290463863,True
Houston,Houston,2,South,ICY,125.141,92.4653,63.1996,32.6758,-1.3333333333333333,-10.1,0.4922520090673524,0.4945396579684505,0.4,0.0,0.0,0.0,7.333333333333333,0.9428090415820634,True
Idaho,Idaho,15,South,ICY,108.61,109.605,67.6007,-0.994703,5.0,-9.4,0.5452328401649285,0.4825074517447398,0.6,0.0,0.0,0.0,180.0,9.626352718795768,True
UMBC,UMBC,16,Midwest,HOT,106.289,110.834,65.9068,-4.54513,28.0,0.3,0.5434859969396106,0.4600023640392384,1.0,0.0,0.0,0.0,229.0,9.092121131323903,True
Howard,Howard,16,Midwest,WARM,102.73,105.863,68.9444,-3.13367,33.0,-0.2,0.5823885897327747,0.4153348901749754,1.0,0.0,0.0,0.0,234.0,29.223278392404914,True
Texas,Texas,11,West,ICY,127.319,106.252,66.1729,21.0679,-0.3333333333333333,-7.4,0.5496633280128733,0.5615534804753819,0.6,0.0,0.0,0.0,36.333333333333336,3.091206165165235,True
NC State,NC State,11,West,ICY,123.034,102.149,69.0032,20.8851,-0.3333333333333333,-11.8,0.5062555808025382,0.5308457529709721,0.25,0.0,0.0,0.0,24.666666666666668,1.247219128924647,True
Prairie View A&M,Prairie View A&M,16,South,COLD,100.976,114.91,72.1848,-13.934,-5.666666666666667,-1.9428571428571428,0.4809294871794871,0.4713882699088095,0.6666666666666666,0.0,0.0,0.0,325.0,2.943920288775949,True
Lehigh,Lehigh,16,South,WARM,103.049,114.641,66.7485,-11.5922,7.0,-5.7,0.5641981424148607,0.5350943273484258,0.8,0.0,0.0,0.0,298.3333333333333,3.6817870057290873,True
Miami (Ohio),Miami OH,11,Midwest,FLAT,116.561,107.076,70.0399,9.48468,2.0,-2.7,0.5563103063852689,0.4956458513085994,1.0,0.0,0.0,0.0,68.0,14.966629547095764,True
SMU,SMU,11,Midwest,ICY,124.915,106.199,68.8149,18.716,3.333333333333333,-8.8,0.564846409390986,0.5231551714181404,0.4,0.0,0.0,0.0,30.0,2.943920288775949,True
